,lambda_0,I_0
1.0,0.31770767906852393,11.250259107135925
2.0,0.43944491546602127,0.9999999999978184
3.0,-0.01823215568161629,4.384327654870345
4.0,0.10014485401948381,4.855933748308177
5.0,0.454063166483861,0.8944271909977481
6.0,0.08207438376446297,4.5369879101420345
7.0,0.424239199703908,3.4045637152396226
8.0,0.25861434482457935,8.444656133823356
9.0,0.4106767082207804,3.4011320016704367
10.0,0.350655789730582,5.334537216801041
11.0,0.3061951218143084,17.652467142792613
12.0,0.27850112422226025,16.212261662042113
13.0,0.36854662177970743,37.85896713474655
14.0,0.34811935704419733,20.49881996344867
15.0,0.18000582896556663,5.095887379488609
16.0,-0.2059238834388617,8.48204979938632
17.0,-2.1811441541785825e-12,2.639015821545618
18.0,0.26596766168019836,4.206189987193124
19.0,0.582680606690457,0.7373493796213744
20.0,0.3080073421972648,5.114622783137203
21.0,-0.07985076962413218,5.908353878135552
22.0,0.2388142981339091,11.209362948357263
23.0,-0.01458518770346906,23.473868941061962
24.0,-0.1463586035446538,10.692357497667205
25.0,0.45279805472850276,2.071144129119018
26.0,0.4097118489091952,5.662314951979508
27.0,0.16634635171531675,27.797143854500963
28.0,0.30251761771884844,21.781032473073974
29.0,0.3124565153244881,4.355812842128744
30.0,0.30445224377082547,1.6437518295154219
31.0,0.43174881135239174,1.7411011265905563
32.0,0.5704199054532051,1.0690449676475204
33.0,0.4763640526948446,5.231980011315782
34.0,0.05629416248844199,10.46439913700624
35.0,0.30096351967170204,4.04051696988108
36.0,0.06286086594019369,3.4375438551767132
37.0,0.2716349003901022,6.948004627651807
38.0,0.0627533968272167,19.247397177671296
39.0,0.31135153091953527,2.369328905083777
40.0,0.24932054525863245,19.81478290386723
41.0,0.17917594692101513,2.4595094858488245
42.0,0.05417475340839495,10.469404333618481
43.0,0.14020427180692774,3.9748818259096446
44.0,0.604855354477418,1.8002554207361405
45.0,0.12685113254444647,3.5282370675760246
46.0,0.17464831129139852,3.9528470863139002
47.0,0.34026965829604205,1.5799540514884283
