都道府県,０−４歳【人】,都道府県コード
北海道,407498,1
青森県,112171,2
岩手県,102771,3
宮城県,160137,4
秋田県,85602,5
山形県,87122,6
福島県,153395,7
茨城県,197471,8
栃木県,139275,9
群馬県,137741,10
埼玉県,434011,11
千葉県,374804,12
東京都,715230,13
神奈川県,517278,14
新潟県,176969,15
富山県,76452,16
石川県,83466,17
福井県,57358,18
山梨県,55028,19
長野県,147543,20
岐阜県,142688,21
静岡県,259599,22
愛知県,476917,23
三重県,116918,24
滋賀県,86794,25
京都府,178281,26
大阪府,612532,27
兵庫県,376457,28
奈良県,88473,29
和歌山県,73060,30
鳥取県,42884,31
島根県,53087,32
岡山県,131906,33
広島県,201603,34
山口県,108570,35
徳島県,54955,36
香川県,70716,37
愛媛県,106027,38
高知県,54321,39
福岡県,340210,40
佐賀県,64541,41
長崎県,118379,42
熊本県,126547,43
大分県,87901,44
宮崎県,90220,45
鹿児島県,126262,46
沖縄県,104246,47
